topics,domain_normalized,domain
"363,243",antena3 ro,antena3.ro
"126,243",antyweb pl,antyweb.pl
"215,243,1",aol co uk,aol.co.uk
"215,243,1",aol com,aol.com
"215,1,243",aol de,aol.de
"299,325,243",apk futemais net,apk.futemais.net
"363,243,1",apnews com,apnews.com
243,apollo lv,apollo.lv
"299,243",aposta la,aposta.la
243,apostrophe ua,apostrophe.ua
400,apotheken umschau de,apotheken-umschau.de
"215,183,400",app famitsu com,app.famitsu.com
"247,561",app handelsblatt com,app.handelsblatt.com
350,app mtvuutiset fi,app.mtvuutiset.fi
"215,126,243",appbank net,appbank.net
"215,140,126,243",apple news,apple.news
243,appledaily com tw,appledaily.com.tw
"215,528,126,243",appllio com,appllio.com
"126,243",appsparavertv com,appsparavertv.com
245,aps dz,aps.dz
"164,325,299,340,243",apteka april ru,apteka-april.ru
"103,400",apteka ua,apteka.ua
"299,243",apuestas wplay co,apuestas.wplay.co
"299,325,243",apwin com,apwin.com
350,aquitemfofoca com br,aquitemfofoca.com.br
243,ar hibapress com,ar.hibapress.com
243,ar islamway net,ar.islamway.net
"299,325,243",ar kooora365 com,ar.kooora365.com
"299,243",ar marca com,ar.marca.com
"400,1",ar13 cl,ar13.cl
243,ara cat,ara.cat
243,arabfive news,arabfive.news
561,arabianbusiness com,arabianbusiness.com
243,arabiaweather com,arabiaweather.com
"249,243",arabic cnn com,arabic.cnn.com
243,arabic rt com,arabic.rt.com
243,arabic sputniknews com,arabic.sputniknews.com
243,arabicpost net,arabicpost.net
"528,126,243",aramobi com,aramobi.com
"1,243",arcadi fr,arcadi.fr
"1,243",arcamax com,arcamax.com
"254,400",archaeology org,archaeology.org
"400,368",architecturaldigest com,architecturaldigest.com
243,archivos meteochile gob cl,archivos.meteochile.gob.cl
"363,243",ard text de,ard-text.de
"299,325,243",areanapoli it,areanapoli.it
"245,103,238,254",arede info,arede.info
"164,561",argaam com,argaam.com
"299,243",argentina as com,argentina.as.com
245,argolikeseidhseis gr,argolikeseidhseis.gr
243,arileht delfi ee,arileht.delfi.ee
243,aristeguinoticias com,aristeguinoticias.com
"164,561",ariva de,ariva.de
"364,299,325,243",arkooora live kooora tv com,arkooora.live-kooora-tv.com
"552,234,1,243",arnewshindi in,arnewshindi.in
"239,254,243",arpa veneto it,arpa.veneto.it
"325,299,243",arsenal com,arsenal.com
243,arshehonline com,arshehonline.com
"299,243",arsiv mackolik com,arsiv.mackolik.com
"299,325,243",arsiv sahadan com,arsiv.sahadan.com
243,arstechnica com,arstechnica.com
"215,243",article yahoo co jp,article.yahoo.co.jp
"171,239,254,243",artsport edu kz,artsport.edu.kz
243,arynews tv,arynews.tv
"363,9,299,243,1",aryzap com,aryzap.com
247,arz m wikipedia org,arz.m.wikipedia.org
"164,561",arzdigital com,arzdigital.com
"299,363,1,243",as com,as.com
"299,363,1,243",as ro,as.ro
243,asagei com,asagei.com
"350,1",asageimuse com,asageimuse.com
243,asahi com,asahi.com
243,asbnewsindia com,asbnewsindia.com
"400,126",ascii jp,ascii.jp
561,asharqbusiness com,asharqbusiness.com
"299,243,325",asianbandar cc,asianbandar.cc
243,asianetnews com,asianetnews.com
"363,350",asianwiki info,asianwiki.info
