topics,domain_normalized,domain,subscription_status,evidence_url,pricing_url,pricing_url_method,pricing_page_ok,dynamic_components,popup_overlay,detected_prices,wayback_available,wayback_url,wayback_page_ok,notes
"272,561,350",lifeindigo com,lifeindigo.com,no subscription,https://lifeindigo.com,,,,,,,,,,
"332,96,561,254,350",lifestyle 24tv ua,lifestyle.24tv.ua,no subscription,https://lifestyle.24tv.ua,,,,,,,,,,
"96,1,243",lifestyle okezone com,lifestyle.okezone.com,inaccessible,,,,,,,,,,,
350,lifestyle sindonews com,lifestyle.sindonews.com,inaccessible,,,,,,,,,,,
"126,243",lifewire com,lifewire.com,inaccessible,,,,,,,,,,,
400,lifo gr,lifo.gr,no subscription,https://lifo.gr,,,,,,,,,,
"299,609,243",liga db de,liga-db.de,no subscription,https://liga-db.de,,,,,,,,,,
243,liga net,liga.net,no subscription,https://liga.net,,,,,,,,,,
"299,325,243",ligaportal at,ligaportal.at,no subscription,https://ligaportal.at,,,,,,,,,,
243,light dark net,light-dark.net,no subscription,https://light-dark.net,,,,,,,,,,
243,lightmailer bap web de,lightmailer-bap.web.de,no subscription,https://lightmailer-bap.web.de,,,,,,,,,,
"317,299,243",liiga fi,liiga.fi,no subscription,https://liiga.fi,,,,,,,,,,
"126,243",limanowa in,limanowa.in,inaccessible,,,,,,,,,,,
"299,243",limasports com br,limasports.com.br,no subscription,https://limasports.com.br,,,,,,,,,,
243,limburger nl,limburger.nl,no subscription,https://limburger.nl,,,,,,,,,,
243,limerickleader ie,limerickleader.ie,subscription,https://limerickleader.ie,https://www.limerickleader.ie/,fallback_homepage,yes,yes,yes,,no,,no,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
"237,561,1",limo media,limo.media,no subscription,https://limo.media,,,,,,,,,,
"350,1",limon postimees ee,limon.postimees.ee,no subscription,https://limon.postimees.ee,,,,,,,,,,
"250,243",lindaikejisblog com,lindaikejisblog.com,inaccessible,,,,,,,,,,,
"245,243",lindependant fr,lindependant.fr,no subscription,https://lindependant.fr,,,,,,,,,,
245,lineadirectaportal com,lineadirectaportal.com,inaccessible,,,,,,,,,,,
"1,243",liner hu,liner.hu,no subscription,https://liner.hu,,,,,,,,,,
243,linfo re,linfo.re,no subscription,https://linfo.re,,,,,,,,,,
"299,325,243",links2 futemais net,links2.futemais.net,no subscription,https://links2.futemais.net,,,,,,,,,,
"350,243",linserto it,linserto.it,no subscription,https://linserto.it,,,,,,,,,,
243,linternaute com,linternaute.com,no subscription,https://linternaute.com,,,,,,,,,,
243,linternaute fr,linternaute.fr,no subscription,https://linternaute.fr,,,,,,,,,,
"129,250,140,126,420,183,243",linustechtips com,linustechtips.com,inaccessible,,,,,,,,,,,
"215,243,1",liputan6 com,liputan6.com,no subscription,https://liputan6.com,,,,,,,,,,
"245,243",listindiario com,listindiario.com,no subscription,https://listindiario.com,,,,,,,,,,
"247,245",liter kz,liter.kz,no subscription,https://liter.kz,,,,,,,,,,
"215,126,140,243",litetekno com,litetekno.com,inaccessible,,,,,,,,,,,
"325,299,243",live 360koralive com,live.360koralive.com,inaccessible,,,,,,,,,,,
"299,325,243",live 7msport com,live.7msport.com,no subscription,https://live.7msport.com,,,,,,,,,,
"299,325,243",live 7mth com,live.7mth.com,no subscription,https://live.7mth.com,,,,,,,,,,
561,live euronext com,live.euronext.com,no subscription,https://live.euronext.com,,,,,,,,,,
"364,325,299,243",live kora star online,live.kora-star.online,inaccessible,,,,,,,,,,,
"299,243",live lequipe fr,live.lequipe.fr,no subscription,https://live.lequipe.fr,,,,,,,,,,
"364,299,325,243",live livehd7 cc,live.livehd7.cc,inaccessible,,,,,,,,,,,
"299,325,243",live livehd7 tv,live.livehd7.tv,inaccessible,,,,,,,,,,,
"299,364,325,243",live newsouest fr,live.newsouest.fr,inaccessible,,,,,,,,,,,
"364,299,325,243",live shoot yalla tv,live.shoot-yalla.tv,inaccessible,,,,,,,,,,,
"328,299,243",live tennis eu,live-tennis.eu,inaccessible,,,,,,,,,,,
"1,243",livebharatnews in,livebharatnews.in,no subscription,https://livebharatnews.in,,,,,,,,,,
"164,561",livecharts co uk,livecharts.co.uk,inaccessible,,,,,,,,,,,
243,livechennai com,livechennai.com,inaccessible,,,,,,,,,,,
"561,164",livecoinwatch com,livecoinwatch.com,inaccessible,,,,,,,,,,,
"299,325,243",livefoot fr,livefoot.fr,no subscription,https://livefoot.fr,,,,,,,,,,
"299,325,243",livefpl net,livefpl.net,no subscription,https://livefpl.net,,,,,,,,,,
"299,325,243",livefutbol com,livefutbol.com,no subscription,https://livefutbol.com,,,,,,,,,,
243,livehealthily com,livehealthily.com,no subscription,https://livehealthily.com,,,,,,,,,,
"1,243",livehindustan com,livehindustan.com,inaccessible,,,,,,,,,,,
243,livekuban ru,livekuban.ru,no subscription,https://livekuban.ru,,,,,,,,,,
"239,243",livelaw in,livelaw.in,subscription,https://www.livelaw.in/pricing,https://www.livelaw.in/pricing,common_path,yes,yes,yes,,no,,no,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
243,liveleak com,liveleak.com,inaccessible,,,,,,,,,,,
561,livemint com,livemint.com,subscription,https://livemint.com,https://www.livemint.com/static/subscriber-tnc,homepage_link,yes,yes,yes,,no,,no,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
"354,4,350",livenation co uk,livenation.co.uk,no subscription,https://livenation.co.uk,,,,,,,,,,
"164,103,561",livepriceofgold com,livepriceofgold.com,no subscription,https://livepriceofgold.com,,,,,,,,,,
"299,325,243",liverpool com,liverpool.com,subscription,https://www.liverpool.com,https://www.liverpool.com/,common_path,yes,yes,yes,$82; $48,no,,no,likely JS-rendered content | possible modal or overlay UI
